mode,path,run,time,stats
hyper,/hot/data/github_daily/2011-10-15.json,0,1.48427,"{""input"":{""input_file_count"":1,""total_input_row_count"":48899,""normal"":47615,""general"":1284,""fallback"":0,""unresolved"":0},""output"":{""normal"":1418,""except"":0},""timings"":{""fast_path_execution_time"":0.230537,""hyperspecialization_time"":0.961181,""general_and_interpreter_time"":0.107598,""compile_time"":0.0524425},""hyper_active"":true}"
hyper,/hot/data/github_daily/2012-10-15.json,0,11.4886,"{""input"":{""input_file_count"":1,""total_input_row_count"":165692,""normal"":84616,""general"":0,""fallback"":81076,""unresolved"":0},""output"":{""normal"":5907,""except"":0},""timings"":{""fast_path_execution_time"":1.17756,""general_and_interpreter_time"":8.6796,""compile_time"":0.115772,""hyperspecialization_time"":1.43862},""hyper_active"":true}"
hyper,/hot/data/github_daily/2013-10-15.json,0,9.09437,"{""input"":{""input_file_count"":1,""total_input_row_count"":296456,""normal"":248192,""general"":0,""fallback"":48264,""unresolved"":0},""output"":{""normal"":10628,""except"":0},""timings"":{""fast_path_execution_time"":2.03612,""general_and_interpreter_time"":5.36141,""compile_time"":0.112467,""hyperspecialization_time"":1.49657},""hyper_active"":true}"
hyper,/hot/data/github_daily/2014-10-15.json,0,77.6332,"{""input"":{""input_file_count"":1,""total_input_row_count"":476393,""normal"":155365,""general"":637,""fallback"":320391,""unresolved"":0},""output"":{""normal"":16014,""except"":0},""timings"":{""fast_path_execution_time"":17.0582,""general_and_interpreter_time"":58.7689,""compile_time"":0.360035,""hyperspecialization_time"":1.35676},""hyper_active"":true}"
hyper,/hot/data/github_daily/2015-10-15.json,0,5.91079,"{""input"":{""input_file_count"":1,""total_input_row_count"":737714,""normal"":737714,""general"":0,""fallback"":0,""unresolved"":0},""output"":{""normal"":25301,""except"":0},""timings"":{""fast_path_execution_time"":4.43899,""general_and_interpreter_time"":1.0661e-05,""compile_time"":0.0491412,""hyperspecialization_time"":1.32579},""hyper_active"":true}"
hyper,/hot/data/github_daily/2016-10-15.json,0,5.0879,"{""input"":{""input_file_count"":1,""total_input_row_count"":678134,""normal"":678134,""general"":0,""fallback"":0,""unresolved"":0},""output"":{""normal"":19412,""except"":0},""timings"":{""fast_path_execution_time"":3.59081,""general_and_interpreter_time"":9.028e-06,""compile_time"":0.0493086,""hyperspecialization_time"":1.35283},""hyper_active"":true}"
hyper,/hot/data/github_daily/2017-10-15.json,0,6.36747,"{""input"":{""input_file_count"":1,""total_input_row_count"":910100,""normal"":910100,""general"":0,""fallback"":0,""unresolved"":0},""output"":{""normal"":26107,""except"":0},""timings"":{""fast_path_execution_time"":4.803,""general_and_interpreter_time"":1.001e-05,""compile_time"":0.0491621,""hyperspecialization_time"":1.41815},""hyper_active"":true}"
hyper,/hot/data/github_daily/2018-10-15.json,0,11.7343,"{""input"":{""input_file_count"":1,""total_input_row_count"":1522655,""normal"":1522655,""general"":0,""fallback"":0,""unresolved"":0},""output"":{""normal"":44404,""except"":0},""timings"":{""fast_path_execution_time"":10.164,""general_and_interpreter_time"":8.683e-06,""compile_time"":0.0496673,""hyperspecialization_time"":1.42198},""hyper_active"":true}"
hyper,/hot/data/github_daily/2019-10-15.json,0,17.462,"{""input"":{""input_file_count"":1,""total_input_row_count"":2134789,""normal"":2134789,""general"":0,""fallback"":0,""unresolved"":0},""output"":{""normal"":61337,""except"":0},""timings"":{""fast_path_execution_time"":15.8851,""general_and_interpreter_time"":9.129e-06,""compile_time"":0.0497517,""hyperspecialization_time"":1.42657},""hyper_active"":true}"
hyper,/hot/data/github_daily/2020-10-15.json,0,26.5504,"{""input"":{""input_file_count"":1,""total_input_row_count"":2963694,""normal"":2963694,""general"":0,""fallback"":0,""unresolved"":0},""output"":{""normal"":62354,""except"":0},""timings"":{""fast_path_execution_time"":24.9439,""general_and_interpreter_time"":1.095e-05,""compile_time"":0.0497403,""hyperspecialization_time"":1.45573},""hyper_active"":true}"
