year,month,day,carrier,flightno,origin,dest,distance,dep_delay,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2021,11,9,YV,6038,11193,13930,264.0,-3.0,15.0,0.00,0.00,15.00,0.00,0.00
2021,11,17,YV,6079,12264,14986,849.0,-1.0,57.0,0.00,0.00,57.00,0.00,0.00
2021,11,26,YV,6228,14492,12264,224.0,-2.0,29.0,0.00,0.00,29.00,0.00,0.00
2021,11,30,YV,6038,11193,13930,264.0,0.0,22.0,0.00,0.00,22.00,0.00,0.00
2021,11,26,YV,6251,12266,14986,796.0,-5.0,31.0,0.00,0.00,31.00,0.00,0.00
2021,11,24,YV,6079,14986,12264,849.0,0.0,23.0,0.00,0.00,23.00,0.00,0.00
2021,11,22,YV,6079,12264,14986,849.0,-1.0,20.0,0.00,0.00,20.00,0.00,0.00
2021,11,14,YV,6066,13930,10397,606.0,0.0,26.0,0.00,0.00,26.00,0.00,0.00
2021,11,28,YV,6268,12266,13158,429.0,-10.0,56.0,0.00,0.00,56.00,0.00,0.00
2021,11,2,YV,6078,11193,12264,388.0,-4.0,19.0,0.00,0.00,19.00,0.00,0.00
2021,11,22,YV,6110,12266,14683,191.0,-7.0,15.0,0.00,0.00,15.00,0.00,0.00
2021,11,24,YV,6154,12264,12953,229.0,-4.0,19.0,0.00,0.00,19.00,0.00,0.00
2021,11,27,YV,6309,12266,14524,1157.0,-7.0,18.0,0.00,0.00,18.00,0.00,0.00
2021,11,27,YV,6326,11433,12266,1075.0,-1.0,15.0,0.00,0.00,15.00,0.00,0.00
2021,11,27,YV,6348,12266,13891,1334.0,-3.0,23.0,0.00,0.00,23.00,0.00,0.00
2021,11,16,YV,6172,10529,12264,326.0,-1.0,17.0,0.00,0.00,17.00,0.00,0.00
2021,11,24,YV,6238,11057,12264,322.0,0.0,15.0,0.00,0.00,15.00,0.00,0.00
2021,11,12,YV,6094,12266,13198,643.0,0.0,18.0,0.00,0.00,18.00,0.00,0.00
2021,11,22,YV,6251,12266,14986,796.0,-3.0,29.0,0.00,0.00,29.00,0.00,0.00
2021,11,16,YV,6202,12266,10693,657.0,0.0,32.0,0.00,0.00,32.00,0.00,0.00
2021,11,14,YV,6222,12266,11624,915.0,-6.0,83.0,0.00,0.00,83.00,0.00,0.00
2021,11,13,YV,6110,12266,14683,191.0,-5.0,18.0,0.00,0.00,18.00,0.00,0.00
2021,11,28,YV,6047,12264,12451,630.0,0.0,27.0,0.00,0.00,27.00,0.00,0.00
2021,11,14,YV,6252,12266,12339,844.0,-4.0,33.0,0.00,0.00,33.00,0.00,0.00
2021,11,22,YV,6355,12266,14685,851.0,-4.0,15.0,0.00,0.00,15.00,0.00,0.00
2021,11,13,YV,6355,12266,14685,851.0,0.0,38.0,0.00,0.00,38.00,0.00,0.00
2021,11,22,YV,6011,12264,11057,322.0,-1.0,21.0,0.00,0.00,21.00,0.00,0.00
2021,11,22,YV,6020,12266,14492,1042.0,-1.0,17.0,0.00,0.00,17.00,0.00,0.00
2021,11,12,YV,6132,13930,11423,299.0,0.0,26.0,0.00,0.00,26.00,0.00,0.00
2021,11,14,YV,6029,11066,13930,296.0,-1.0,16.0,0.00,0.00,16.00,0.00,0.00
2021,11,8,YV,6023,11057,12264,322.0,-1.0,20.0,0.00,0.00,20.00,0.00,0.00
2021,11,12,YV,6138,13930,12451,864.0,0.0,43.0,0.00,0.00,43.00,0.00,0.00
2021,11,12,YV,6145,13930,13851,693.0,0.0,19.0,0.00,0.00,19.00,0.00,0.00
2021,11,8,YV,6035,12266,10994,925.0,-4.0,16.0,0.00,0.00,16.00,0.00,0.00
2021,11,12,YV,6160,15376,13930,1437.0,-5.0,19.0,0.00,0.00,19.00,0.00,0.00
2021,11,4,YV,6222,12266,11624,915.0,-6.0,32.0,0.00,0.00,32.00,0.00,0.00
2021,11,13,YV,6153,12264,12953,229.0,-2.0,54.0,0.00,0.00,54.00,0.00,0.00
2021,11,4,YV,6251,12266,14986,796.0,-3.0,42.0,0.00,0.00,42.00,0.00,0.00
2021,11,12,YV,6192,13930,14685,773.0,0.0,51.0,0.00,0.00,51.00,0.00,0.00
2021,11,4,YV,6309,12266,14524,1157.0,-1.0,24.0,0.00,0.00,24.00,0.00,0.00
2021,11,29,YV,6050,12266,10693,657.0,-6.0,17.0,0.00,0.00,17.00,0.00,0.00
2021,11,29,YV,6056,12264,12953,229.0,-1.0,37.0,0.00,0.00,37.00,0.00,0.00
2021,11,18,YV,6200,12264,13931,157.0,-7.0,26.0,0.00,0.00,26.00,0.00,0.00
2021,11,29,YV,6083,11057,13930,599.0,0.0,23.0,0.00,0.00,23.00,0.00,0.00
2021,11,18,YV,6219,13851,12266,395.0,-10.0,19.0,0.00,0.00,19.00,0.00,0.00
2021,11,23,YV,6136,12266,12953,1416.0,-1.0,16.0,0.00,0.00,16.00,0.00,0.00
2021,11,10,YV,6103,13930,11057,599.0,-4.0,17.0,0.00,0.00,17.00,0.00,0.00
2021,11,8,YV,6103,13930,11057,599.0,-3.0,17.0,0.00,0.00,17.00,0.00,0.00
2021,11,10,YV,6123,13930,11298,801.0,0.0,72.0,0.00,0.00,72.00,0.00,0.00
2021,11,25,YV,6042,10423,12266,140.0,-2.0,28.0,0.00,0.00,28.00,0.00,0.00
2021,11,18,YV,6079,12264,14986,849.0,-2.0,19.0,0.00,0.00,19.00,0.00,0.00
2021,11,25,YV,6342,13487,12266,1034.0,0.0,16.0,0.00,0.00,16.00,0.00,0.00
2021,11,10,YV,6160,15376,13930,1437.0,0.0,23.0,0.00,0.00,23.00,0.00,0.00
2021,11,19,YV,6273,14730,12266,788.0,0.0,16.0,0.00,0.00,16.00,0.00,0.00
2021,11,4,YV,6013,12266,14492,1042.0,-2.0,28.0,0.00,0.00,28.00,0.00,0.00
2021,11,23,YV,6213,10693,12264,542.0,-1.0,20.0,0.00,0.00,20.00,0.00,0.00
2021,11,23,YV,6223,14576,12264,288.0,0.0,36.0,0.00,0.00,36.00,0.00,0.00
2021,11,25,YV,6110,12266,14683,191.0,0.0,18.0,0.00,0.00,18.00,0.00,0.00
2021,11,29,YV,6222,12266,11624,915.0,-5.0,26.0,0.00,0.00,26.00,0.00,0.00
2021,11,4,YV,6038,11193,13930,264.0,-7.0,17.0,0.00,0.00,17.00,0.00,0.00
2021,11,23,YV,6038,11193,13930,264.0,0.0,15.0,0.00,0.00,15.00,0.00,0.00
2021,11,29,YV,6242,12264,12953,229.0,-1.0,17.0,0.00,0.00,17.00,0.00,0.00
2021,11,23,YV,6282,12266,12953,1416.0,-4.0,32.0,0.00,0.00,32.00,0.00,0.00
2021,11,23,YV,6309,12266,14524,1157.0,-1.0,30.0,0.00,0.00,30.00,0.00,0.00
2021,11,18,YV,6138,13930,12451,864.0,0.0,16.0,0.00,0.00,16.00,0.00,0.00
2021,11,20,YV,6015,12264,10397,534.0,-1.0,168.0,0.00,0.00,168.00,0.00,0.00
2021,11,4,YV,6110,12266,14683,191.0,0.0,26.0,0.00,0.00,26.00,0.00,0.00
